en:McEwan_Na-Chesilske:0:shuff:2,cs:McEwan_Na-Chesilske:0:shuff:2,froze,freeze,ztuhla,ztuhnout,pf
en:McEwan_Na-Chesilske:0:shuff:433,cs:McEwan_Na-Chesilske:0:shuff:438,hold,hold,přidržet,přidržet,pf
en:McEwan_Na-Chesilske:0:shuff:433,cs:McEwan_Na-Chesilske:0:shuff:438,pulling,pull,táhnout,táhnout,impf
en:McEwan_Na-Chesilske:0:shuff:434,cs:McEwan_Na-Chesilske:0:shuff:439,owned,own,Vlastnil,vlastnit,impf
en:McEwan_Na-Chesilske:0:shuff:434,cs:McEwan_Na-Chesilske:0:shuff:439,owned,own,měl,mít,impf
en:McEwan_Na-Chesilske:0:shuff:435,cs:McEwan_Na-Chesilske:0:shuff:440,considered,consider,považují,považovat,impf
en:McEwan_Na-Chesilske:0:shuff:436,cs:McEwan_Na-Chesilske:0:shuff:441,started,start,začal,začít,pf
en:McEwan_Na-Chesilske:0:shuff:437,cs:McEwan_Na-Chesilske:0:shuff:442,thought,think,Myslela,myslet,impf
en:McEwan_Na-Chesilske:0:shuff:437,cs:McEwan_Na-Chesilske:0:shuff:442,thought,think,měla,mít,impf
en:McEwan_Na-Chesilske:0:shuff:437,cs:McEwan_Na-Chesilske:0:shuff:442,thought,think,neměla,mít,impf
en:McEwan_Na-Chesilske:0:shuff:438,cs:McEwan_Na-Chesilske:0:shuff:443,arrive,arrive,přijít,přijít,pf
en:McEwan_Na-Chesilske:0:shuff:441,cs:McEwan_Na-Chesilske:0:shuff:446,trying,try,Snažila,snažit,impf
en:McEwan_Na-Chesilske:0:shuff:441,cs:McEwan_Na-Chesilske:0:shuff:446,think,think,nemyslet,myslet,impf
en:McEwan_Na-Chesilske:0:shuff:441,cs:McEwan_Na-Chesilske:0:shuff:446,imagined,imagine,představovala,představovat,impf
en:McEwan_Na-Chesilske:0:shuff:441,cs:McEwan_Na-Chesilske:0:shuff:446,pressing,press,tiskne,tisknout,impf
en:McEwan_Na-Chesilske:0:shuff:441,cs:McEwan_Na-Chesilske:0:shuff:446,move,move,pohnout,pohnout,pf
en:McEwan_Na-Chesilske:0:shuff:443,cs:McEwan_Na-Chesilske:0:shuff:448,listened,listen,Naslouchala,naslouchat,impf
en:McEwan_Na-Chesilske:0:shuff:446,cs:McEwan_Na-Chesilske:0:shuff:451,thought,think,měla,mít,impf
en:McEwan_Na-Chesilske:0:shuff:446,cs:McEwan_Na-Chesilske:0:shuff:451,speak,speak,promluvit,promluvit,pf
en:McEwan_Na-Chesilske:0:shuff:447,cs:McEwan_Na-Chesilske:0:shuff:452,troubled,trouble,trápilo,trápit,impf
en:McEwan_Na-Chesilske:0:shuff:448,cs:McEwan_Na-Chesilske:0:shuff:453,began,begin,začaly,začít,pf
en:McEwan_Na-Chesilske:0:shuff:448,cs:McEwan_Na-Chesilske:0:shuff:453,reveal,reveal,odhalovat,odhalovat,impf
en:McEwan_Na-Chesilske:0:shuff:449,cs:McEwan_Na-Chesilske:0:shuff:454,tell,tell,říct,říci,pf
en:McEwan_Na-Chesilske:0:shuff:450,cs:McEwan_Na-Chesilske:0:shuff:455,made,make,učinila,učinit,pf
en:McEwan_Na-Chesilske:0:shuff:450,cs:McEwan_Na-Chesilske:0:shuff:455,made,make,způsobila,způsobit,pf
en:McEwan_Na-Chesilske:0:shuff:451,cs:McEwan_Na-Chesilske:0:shuff:456,stroked,stroke,pohladila,pohladit,pf
en:McEwan_Na-Chesilske:0:shuff:452,cs:McEwan_Na-Chesilske:0:shuff:457,moved,move,posunula,posunout,pf
en:McEwan_Na-Chesilske:0:shuff:452,cs:McEwan_Na-Chesilske:0:shuff:457,take,take,uchopila,uchopit,pf
en:McEwan_Na-Chesilske:0:shuff:452,cs:McEwan_Na-Chesilske:0:shuff:457,pulled,pull,přitáhla,přitáhnout,pf
en:McEwan_Na-Chesilske:0:shuff:452,cs:McEwan_Na-Chesilske:0:shuff:457,felt,feel,ucítila,ucítit,pf
en:McEwan_Na-Chesilske:0:shuff:452,cs:McEwan_Na-Chesilske:0:shuff:457,touching,touch,dotýká,dotýkat,impf
en:McEwan_Na-Chesilske:0:shuff:453,cs:McEwan_Na-Chesilske:0:shuff:458,making,make,dělá,dělat,impf
en:McEwan_Na-Chesilske:0:shuff:455,cs:McEwan_Na-Chesilske:0:shuff:460,gripped,grip,Stiskla,stisknout,pf
en:McEwan_Na-Chesilske:0:shuff:456,cs:McEwan_Na-Chesilske:0:shuff:461,showed,show,Předvedl,předvést,pf
en:McEwan_Na-Chesilske:0:shuff:456,cs:McEwan_Na-Chesilske:0:shuff:461,found,find,našel,najít,pf
en:McEwan_Na-Chesilske:0:shuff:458,cs:McEwan_Na-Chesilske:0:shuff:463,saw,see,Zahlédli,zahlédnout,pf
en:McEwan_Na-Chesilske:0:shuff:459,cs:McEwan_Na-Chesilske:0:shuff:464,said,say,prohlásila,prohlásit,pf
en:McEwan_Na-Chesilske:0:shuff:459,cs:McEwan_Na-Chesilske:0:shuff:464,learn,learn,naučit,naučit,pf
en:McEwan_Na-Chesilske:0:shuff:460,cs:McEwan_Na-Chesilske:0:shuff:465,concealed,conceal,skrýt,skrýt,pf
en:McEwan_Na-Chesilske:0:shuff:461,cs:McEwan_Na-Chesilske:0:shuff:466,calling,call,nazývala,nazývat,impf
en:McEwan_Na-Chesilske:0:shuff:462,cs:McEwan_Na-Chesilske:0:shuff:467,pleased,please,potěšilo,potěšit,pf
en:McEwan_Na-Chesilske:0:shuff:462,cs:McEwan_Na-Chesilske:0:shuff:467,discover,discover,objevil,objevit,pf
en:McEwan_Na-Chesilske:0:shuff:463,cs:McEwan_Na-Chesilske:0:shuff:468,get,get,dostal,dostat,pf
en:McEwan_Na-Chesilske:0:shuff:465,cs:McEwan_Na-Chesilske:0:shuff:470,overlapped,overlap,překrývaly,překrývat,impf
en:McEwan_Na-Chesilske:0:shuff:466,cs:McEwan_Na-Chesilske:0:shuff:471,visited,visit,nenavštívila,navštívit,pf
en:McEwan_Na-Chesilske:0:shuff:467,cs:McEwan_Na-Chesilske:0:shuff:472,saw,see,spatřil,spatřit,pf
en:McEwan_Na-Chesilske:0:shuff:467,cs:McEwan_Na-Chesilske:0:shuff:472,holding,hold,držel,držet,impf
en:McEwan_Na-Chesilske:0:shuff:468,cs:McEwan_Na-Chesilske:0:shuff:473,wore,wear,Měla,mít,impf
en:McEwan_Na-Chesilske:0:shuff:469,cs:McEwan_Na-Chesilske:0:shuff:474,accept,accept,přijal,přijmout,pf
en:McEwan_Na-Chesilske:0:shuff:469,cs:McEwan_Na-Chesilske:0:shuff:474,wanted,want,chtěl,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:469,cs:McEwan_Na-Chesilske:0:shuff:474,wanted,want,chtěl,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:469,cs:McEwan_Na-Chesilske:0:shuff:474,find,find,zjistit,zjistit,pf
en:McEwan_Na-Chesilske:0:shuff:470,cs:McEwan_Na-Chesilske:0:shuff:475,thought,think,domníval,domnívat,impf
en:McEwan_Na-Chesilske:0:shuff:472,cs:McEwan_Na-Chesilske:0:shuff:477,scowled,scowl,zamračil,zamračit,pf
en:McEwan_Na-Chesilske:0:shuff:473,cs:McEwan_Na-Chesilske:0:shuff:478,decided,decide,rozhodl,rozhodnout,pf
en:McEwan_Na-Chesilske:0:shuff:473,cs:McEwan_Na-Chesilske:0:shuff:478,buy,buy,koupí,koupit,pf
en:McEwan_Na-Chesilske:0:shuff:474,cs:McEwan_Na-Chesilske:0:shuff:479,saw,see,uviděl,uvidět,pf
en:McEwan_Na-Chesilske:0:shuff:474,cs:McEwan_Na-Chesilske:0:shuff:479,hesitated,hesitate,zaváhal,zaváhat,pf
en:McEwan_Na-Chesilske:0:shuff:476,cs:McEwan_Na-Chesilske:0:shuff:481,covered,cover,pokrývaly,pokrývat,impf
en:McEwan_Na-Chesilske:0:shuff:477,cs:McEwan_Na-Chesilske:0:shuff:482,liked,like,líbilo,líbit,impf
en:McEwan_Na-Chesilske:0:shuff:484,cs:McEwan_Na-Chesilske:0:shuff:489,kissed,kiss,Políbil,políbit,pf
en:McEwan_Na-Chesilske:0:shuff:487,cs:McEwan_Na-Chesilske:0:shuff:492,took,take,uchopil,uchopit,pf
en:McEwan_Na-Chesilske:0:shuff:487,cs:McEwan_Na-Chesilske:0:shuff:492,set,set,položil,položit,pf
en:McEwan_Na-Chesilske:0:shuff:488,cs:McEwan_Na-Chesilske:0:shuff:493,proved,prove,dokazovala,dokazovat,impf
en:McEwan_Na-Chesilske:0:shuff:489,cs:McEwan_Na-Chesilske:0:shuff:494,pretend,pretend,předstírat,předstírat,impf
en:McEwan_Na-Chesilske:0:shuff:489,cs:McEwan_Na-Chesilske:0:shuff:494,find,find,nacházet,nacházet,impf
en:McEwan_Na-Chesilske:0:shuff:489,cs:McEwan_Na-Chesilske:0:shuff:494,give,give,dávat,dávat,impf
en:McEwan_Na-Chesilske:0:shuff:492,cs:McEwan_Na-Chesilske:0:shuff:497,describing,describe,popisoval,popisovat,impf
en:McEwan_Na-Chesilske:0:shuff:494,cs:McEwan_Na-Chesilske:0:shuff:499,began,begin,Začínalo,začínat,impf
en:McEwan_Na-Chesilske:0:shuff:494,cs:McEwan_Na-Chesilske:0:shuff:499,sound,sound,znít,znít,impf
en:McEwan_Na-Chesilske:0:shuff:495,cs:McEwan_Na-Chesilske:0:shuff:500,saw,see,viděla,vidět,impf
en:McEwan_Na-Chesilske:0:shuff:496,cs:McEwan_Na-Chesilske:0:shuff:501,keep,keep,nechej,nechat,pf
en:McEwan_Na-Chesilske:0:shuff:496,cs:McEwan_Na-Chesilske:0:shuff:501,spend,spend,utrať,utratit,pf
en:McEwan_Na-Chesilske:0:shuff:497,cs:McEwan_Na-Chesilske:0:shuff:502,Get,get,Kup,koupit,pf
en:McEwan_Na-Chesilske:0:shuff:500,cs:McEwan_Na-Chesilske:0:shuff:505,offended,offend,urazila,urazit,pf
en:McEwan_Na-Chesilske:0:shuff:500,cs:McEwan_Na-Chesilske:0:shuff:505,helped,help,pomáhalo,pomáhat,impf
en:McEwan_Na-Chesilske:0:shuff:500,cs:McEwan_Na-Chesilske:0:shuff:505,see,see,nevidí,vidět,impf
en:McEwan_Na-Chesilske:0:shuff:501,cs:McEwan_Na-Chesilske:0:shuff:506,talked,talk,nemluvili,mluvit,impf
en:McEwan_Na-Chesilske:0:shuff:502,cs:McEwan_Na-Chesilske:0:shuff:507,believed,believe,věřili,věřit,impf
en:McEwan_Na-Chesilske:0:shuff:503,cs:McEwan_Na-Chesilske:0:shuff:508,believed,believe,věří,věřit,impf
en:McEwan_Na-Chesilske:0:shuff:503,cs:McEwan_Na-Chesilske:0:shuff:508,destroy,destroy,zničí,zničit,pf
en:McEwan_Na-Chesilske:0:shuff:504,cs:McEwan_Na-Chesilske:0:shuff:509,keeping,keep,chrání,chránit,impf
en:McEwan_Na-Chesilske:0:shuff:507,cs:McEwan_Na-Chesilske:0:shuff:512,avoid,avoid,vyhnout,vyhnout,pf
en:McEwan_Na-Chesilske:0:shuff:508,cs:McEwan_Na-Chesilske:0:shuff:513,grow,grow,růst,růst,impf
en:McEwan_Na-Chesilske:0:shuff:508,cs:McEwan_Na-Chesilske:0:shuff:513,overwhelm,overwhelm,přemůže,přemoci,pf
en:McEwan_Na-Chesilske:0:shuff:517,cs:McEwan_Na-Chesilske:0:shuff:523,talked,talk,Mluvili,mluvit,impf
en:McEwan_Na-Chesilske:0:shuff:517,cs:McEwan_Na-Chesilske:0:shuff:523,buying,buy,koupit,koupit,pf
en:McEwan_Na-Chesilske:0:shuff:518,cs:McEwan_Na-Chesilske:0:shuff:524,think,think,Myslíš,myslet,impf
en:McEwan_Na-Chesilske:0:shuff:518,cs:McEwan_Na-Chesilske:0:shuff:524,said,say,řekl,říci,pf
en:McEwan_Na-Chesilske:0:shuff:520,cs:McEwan_Na-Chesilske:0:shuff:526,want,want,nechci,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:521,cs:McEwan_Na-Chesilske:0:shuff:527,understand,understand,Rozumíš,rozumět,impf
en:McEwan_Na-Chesilske:0:shuff:522,cs:McEwan_Na-Chesilske:0:shuff:528,want,want,nechci,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:522,cs:McEwan_Na-Chesilske:0:shuff:528,work,work,pracovat,pracovat,impf
en:McEwan_Na-Chesilske:0:shuff:523,cs:McEwan_Na-Chesilske:0:shuff:529,tell,tell,říct,říci,pf
en:McEwan_Na-Chesilske:0:shuff:524,cs:McEwan_Na-Chesilske:0:shuff:530,Tell,tell,Řekni,říci,pf
en:McEwan_Na-Chesilske:0:shuff:526,cs:McEwan_Na-Chesilske:0:shuff:532,gaze,gaze,hleděli,hledět,impf
en:McEwan_Na-Chesilske:0:shuff:527,cs:McEwan_Na-Chesilske:0:shuff:533,look,look,dívat,dívat,impf
en:McEwan_Na-Chesilske:0:shuff:529,cs:McEwan_Na-Chesilske:0:shuff:535,pulled,pull,Vytáhla,vytáhnout,pf
en:McEwan_Na-Chesilske:0:shuff:534,cs:McEwan_Na-Chesilske:0:shuff:540,made,make,učinil,učinit,pf
en:McEwan_Na-Chesilske:0:shuff:536,cs:McEwan_Na-Chesilske:0:shuff:542,expected,expect,Očekával,očekávat,impf
en:McEwan_Na-Chesilske:0:shuff:536,cs:McEwan_Na-Chesilske:0:shuff:542,obeyed,obey,poslouchat,poslouchat,impf
en:McEwan_Na-Chesilske:0:shuff:536,cs:McEwan_Na-Chesilske:0:shuff:542,sensing,sense,vycítily,vycítit,pf
en:McEwan_Na-Chesilske:0:shuff:537,cs:McEwan_Na-Chesilske:0:shuff:543,saw,see,považovaly,považovat,impf
en:McEwan_Na-Chesilske:0:shuff:539,cs:McEwan_Na-Chesilske:0:shuff:545,bore,bear,nesl,nést,impf
en:McEwan_Na-Chesilske:0:shuff:540,cs:McEwan_Na-Chesilske:0:shuff:546,appeared,appear,objevil,objevit,pf
en:McEwan_Na-Chesilske:0:shuff:540,cs:McEwan_Na-Chesilske:0:shuff:546,grant,grant,splnit,splnit,pf
en:McEwan_Na-Chesilske:0:shuff:540,cs:McEwan_Na-Chesilske:0:shuff:546,asked,ask,nepožádal,požádat,pf
en:McEwan_Na-Chesilske:0:shuff:541,cs:McEwan_Na-Chesilske:0:shuff:547,wanted,want,chtěl,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:541,cs:McEwan_Na-Chesilske:0:shuff:547,think,think,myslet,myslet,impf
en:McEwan_Na-Chesilske:0:shuff:541,cs:McEwan_Na-Chesilske:0:shuff:547,lying,lie,ležet,ležet,impf
en:McEwan_Na-Chesilske:0:shuff:541,cs:McEwan_Na-Chesilske:0:shuff:547,think,think,zdál,zdát,impf
en:McEwan_Na-Chesilske:0:shuff:541,cs:McEwan_Na-Chesilske:0:shuff:547,seemed,seem,zdál,zdát,impf
en:McEwan_Na-Chesilske:0:shuff:543,cs:McEwan_Na-Chesilske:0:shuff:549,ate,eat,jedl,jíst,impf
en:McEwan_Na-Chesilske:0:shuff:544,cs:McEwan_Na-Chesilske:0:shuff:550,prepared,prepare,připravit,připravit,pf
en:McEwan_Na-Chesilske:0:shuff:548,cs:McEwan_Na-Chesilske:0:shuff:554,turned,turn,Otočil,otočit,pf
en:McEwan_Na-Chesilske:0:shuff:548,cs:McEwan_Na-Chesilske:0:shuff:554,kicking,kick,kopl,kopnout,pf
en:McEwan_Na-Chesilske:0:shuff:549,cs:McEwan_Na-Chesilske:0:shuff:555,absorbed,absorb,pohltilo,pohltit,pf
en:McEwan_Na-Chesilske:0:shuff:549,cs:McEwan_Na-Chesilske:0:shuff:555,came,come,přicházela,přicházet,impf
en:McEwan_Na-Chesilske:0:shuff:549,cs:McEwan_Na-Chesilske:0:shuff:555,appeared,appear,objevila,objevit,pf
en:McEwan_Na-Chesilske:0:shuff:550,cs:McEwan_Na-Chesilske:0:shuff:556,want,want,chce,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:550,cs:McEwan_Na-Chesilske:0:shuff:556,play,play,zahrát,zahrát,pf
en:McEwan_Na-Chesilske:0:shuff:553,cs:McEwan_Na-Chesilske:0:shuff:559,blurted,blurt,vyhrkl,vyhrknout,pf
en:McEwan_Na-Chesilske:0:shuff:553,cs:McEwan_Na-Chesilske:0:shuff:559,forgot,forget,zapomněla,zapomenout,pf
en:McEwan_Na-Chesilske:0:shuff:554,cs:McEwan_Na-Chesilske:0:shuff:560,began,begin,začala,začít,pf
en:McEwan_Na-Chesilske:0:shuff:555,cs:McEwan_Na-Chesilske:0:shuff:561,dropping,drop,upustit,upustit,pf
en:McEwan_Na-Chesilske:0:shuff:556,cs:McEwan_Na-Chesilske:0:shuff:562,thought,think,měla,mít,impf
en:McEwan_Na-Chesilske:0:shuff:556,cs:McEwan_Na-Chesilske:0:shuff:562,watched,watch,dívá,dívat,impf
en:McEwan_Na-Chesilske:0:shuff:556,cs:McEwan_Na-Chesilske:0:shuff:562,confided,confide,svěřila,svěřit,pf
en:McEwan_Na-Chesilske:0:shuff:556,cs:McEwan_Na-Chesilske:0:shuff:562,thought,think,považuje,považovat,impf
en:McEwan_Na-Chesilske:0:shuff:556,cs:McEwan_Na-Chesilske:0:shuff:562,found,find,považuje,považovat,impf
en:McEwan_Na-Chesilske:0:shuff:556,cs:McEwan_Na-Chesilske:0:shuff:562,thought,think,má,mít,impf
en:McEwan_Na-Chesilske:0:shuff:559,cs:McEwan_Na-Chesilske:0:shuff:565,marked,mark,vyznačovalo,vyznačovat,impf
en:McEwan_Na-Chesilske:0:shuff:560,cs:McEwan_Na-Chesilske:0:shuff:566,drawn,draw,přitahovala,přitahovat,impf
en:McEwan_Na-Chesilske:0:shuff:561,cs:McEwan_Na-Chesilske:0:shuff:567,told,tell,říct,říci,pf
en:McEwan_Na-Chesilske:0:shuff:561,cs:McEwan_Na-Chesilske:0:shuff:567,recognise,recognise,rozpoznat,rozpoznat,pf
en:McEwan_Na-Chesilske:0:shuff:563,cs:McEwan_Na-Chesilske:0:shuff:569,began,begin,začalo,začít,pf
en:McEwan_Na-Chesilske:0:shuff:564,cs:McEwan_Na-Chesilske:0:shuff:570,remembered,remember,Vzpomněl,vzpomenout,pf
en:McEwan_Na-Chesilske:0:shuff:564,cs:McEwan_Na-Chesilske:0:shuff:570,sat,sit,seděl,sedět,impf
en:McEwan_Na-Chesilske:0:shuff:564,cs:McEwan_Na-Chesilske:0:shuff:570,touch,touch,sáhnout,sáhnout,pf
en:McEwan_Na-Chesilske:0:shuff:565,cs:McEwan_Na-Chesilske:0:shuff:571,deliver,deliver,doručil,doručit,pf
en:McEwan_Na-Chesilske:0:shuff:566,cs:McEwan_Na-Chesilske:0:shuff:572,wrote,write,napsal,napsat,pf
en:McEwan_Na-Chesilske:0:shuff:567,cs:McEwan_Na-Chesilske:0:shuff:573,fought,fight,Bojoval,bojovat,impf
en:McEwan_Na-Chesilske:0:shuff:568,cs:McEwan_Na-Chesilske:0:shuff:574,fell,fall,upadl,upadnout,pf
en:McEwan_Na-Chesilske:0:shuff:569,cs:McEwan_Na-Chesilske:0:shuff:575,described,describe,popisovala,popisovat,impf
en:McEwan_Na-Chesilske:0:shuff:569,cs:McEwan_Na-Chesilske:0:shuff:575,imagined,imagine,představoval,představovat,impf
en:McEwan_Na-Chesilske:0:shuff:569,cs:McEwan_Na-Chesilske:0:shuff:575,walking,walk,jde,jít,impf
en:McEwan_Na-Chesilske:0:shuff:572,cs:McEwan_Na-Chesilske:0:shuff:578,seen,see,neviděl,vidět,impf
en:McEwan_Na-Chesilske:0:shuff:573,cs:McEwan_Na-Chesilske:0:shuff:579,wore,wear,měla,mít,impf
en:McEwan_Na-Chesilske:0:shuff:575,cs:McEwan_Na-Chesilske:0:shuff:581,move,move,nehýbala,hýbat,impf
en:McEwan_Na-Chesilske:0:shuff:576,cs:McEwan_Na-Chesilske:0:shuff:582,felt,feel,Ucítila,ucítit,pf
en:McEwan_Na-Chesilske:0:shuff:576,cs:McEwan_Na-Chesilske:0:shuff:582,filled,fill,zaplnil,zaplnit,pf
en:McEwan_Na-Chesilske:0:shuff:578,cs:McEwan_Na-Chesilske:0:shuff:584,drew,draw,Přitáhl,přitáhnout,pf
en:McEwan_Na-Chesilske:0:shuff:579,cs:McEwan_Na-Chesilske:0:shuff:585,learning,learn,učil,učit,impf
en:McEwan_Na-Chesilske:0:shuff:579,cs:McEwan_Na-Chesilske:0:shuff:585,conceal,conceal,tajit,tajit,impf
en:McEwan_Na-Chesilske:0:shuff:581,cs:McEwan_Na-Chesilske:0:shuff:587,commanded,command,ovládají,ovládat,impf
en:McEwan_Na-Chesilske:0:shuff:584,cs:McEwan_Na-Chesilske:0:shuff:590,came,come,přišlo,přijít,pf
en:McEwan_Na-Chesilske:0:shuff:585,cs:McEwan_Na-Chesilske:0:shuff:591,describe,describe,popsal,popsat,pf
en:McEwan_Na-Chesilske:0:shuff:586,cs:McEwan_Na-Chesilske:0:shuff:592,gripped,grip,popadl,popadnout,pf
en:McEwan_Na-Chesilske:0:shuff:586,cs:McEwan_Na-Chesilske:0:shuff:592,took,take,popadl,popadnout,pf
en:McEwan_Na-Chesilske:0:shuff:586,cs:McEwan_Na-Chesilske:0:shuff:592,spun,spin,otočil,otočit,pf
en:McEwan_Na-Chesilske:0:shuff:586,cs:McEwan_Na-Chesilske:0:shuff:592,took,take,chytil,chytit,pf
en:McEwan_Na-Chesilske:0:shuff:588,cs:McEwan_Na-Chesilske:0:shuff:594,hit,hit,praštil,praštit,pf
en:McEwan_Na-Chesilske:0:shuff:589,cs:McEwan_Na-Chesilske:0:shuff:595,told,tell,Řekl,říci,pf
en:McEwan_Na-Chesilske:0:shuff:589,cs:McEwan_Na-Chesilske:0:shuff:595,changed,change,nemění,měnit,impf
en:McEwan_Na-Chesilske:0:shuff:592,cs:McEwan_Na-Chesilske:0:shuff:598,formed,form,utvořily,utvořit,pf
en:McEwan_Na-Chesilske:0:shuff:592,cs:McEwan_Na-Chesilske:0:shuff:598,found,find,nacházel,nacházet,impf
en:McEwan_Na-Chesilske:0:shuff:592,cs:McEwan_Na-Chesilske:0:shuff:598,discovered,discover,objevoval,objevovat,impf
en:McEwan_Na-Chesilske:0:shuff:592,cs:McEwan_Na-Chesilske:0:shuff:598,eluded,elude,unikalo,unikat,impf
en:McEwan_Na-Chesilske:0:shuff:593,cs:McEwan_Na-Chesilske:0:shuff:599,sought,seek,nevyhledával,vyhledávat,impf
en:McEwan_Na-Chesilske:0:shuff:595,cs:McEwan_Na-Chesilske:0:shuff:601,heard,hear,uslyšel,uslyšet,pf
en:McEwan_Na-Chesilske:0:shuff:596,cs:McEwan_Na-Chesilske:0:shuff:602,standing,stand,Měl,mít,impf
en:McEwan_Na-Chesilske:0:shuff:597,cs:McEwan_Na-Chesilske:0:shuff:603,thinking,think,uvažuje,uvažovat,impf
en:McEwan_Na-Chesilske:0:shuff:597,cs:McEwan_Na-Chesilske:0:shuff:603,going,go,půjde,jít,impf
en:McEwan_Na-Chesilske:0:shuff:597,cs:McEwan_Na-Chesilske:0:shuff:603,join,join,připojit,připojit,pf
en:McEwan_Na-Chesilske:0:shuff:598,cs:McEwan_Na-Chesilske:0:shuff:604,contradict,contradict,Odporovat,odporovat,impf
en:McEwan_Na-Chesilske:0:shuff:601,cs:McEwan_Na-Chesilske:0:shuff:607,clung,cling,visel,viset,impf
en:McEwan_Na-Chesilske:0:shuff:601,cs:McEwan_Na-Chesilske:0:shuff:607,hanging,hang,visel,viset,impf
en:McEwan_Na-Chesilske:0:shuff:602,cs:McEwan_Na-Chesilske:0:shuff:608,do,do,udělat,udělat,pf
en:McEwan_Na-Chesilske:0:shuff:603,cs:McEwan_Na-Chesilske:0:shuff:609,took,take,uchopila,uchopit,pf
en:McEwan_Na-Chesilske:0:shuff:604,cs:McEwan_Na-Chesilske:0:shuff:610,helped,help,nepomohlo,pomoci,pf
en:McEwan_Na-Chesilske:0:shuff:605,cs:McEwan_Na-Chesilske:0:shuff:611,prevent,prevent,zabránit,zabránit,pf
en:McEwan_Na-Chesilske:0:shuff:606,cs:McEwan_Na-Chesilske:0:shuff:612,closed,close,uzavřela,uzavřít,pf
en:McEwan_Na-Chesilske:0:shuff:606,cs:McEwan_Na-Chesilske:0:shuff:612,told,tell,řekla,říci,pf
en:McEwan_Na-Chesilske:0:shuff:606,cs:McEwan_Na-Chesilske:0:shuff:612,understood,understand,nepochopil,pochopit,pf
en:McEwan_Na-Chesilske:0:shuff:608,cs:McEwan_Na-Chesilske:0:shuff:614,concerned,concern,týkalo,týkat,impf
en:McEwan_Na-Chesilske:0:shuff:608,cs:McEwan_Na-Chesilske:0:shuff:614,heard,hear,poslouchala,poslouchat,impf
en:McEwan_Na-Chesilske:0:shuff:609,cs:McEwan_Na-Chesilske:0:shuff:615,believed,believe,věřila,věřit,impf
en:McEwan_Na-Chesilske:0:shuff:609,cs:McEwan_Na-Chesilske:0:shuff:615,invited,invite,pozvala,pozvat,pf
en:McEwan_Na-Chesilske:0:shuff:616,cs:McEwan_Na-Chesilske:0:shuff:622,thought,think,myslela,myslet,impf
en:McEwan_Na-Chesilske:0:shuff:616,cs:McEwan_Na-Chesilske:0:shuff:622,needed,need,musíš,muset,impf
en:McEwan_Na-Chesilske:0:shuff:616,cs:McEwan_Na-Chesilske:0:shuff:622,thought,think,mít,mít,impf
en:McEwan_Na-Chesilske:0:shuff:617,cs:McEwan_Na-Chesilske:0:shuff:623,said,say,vyslovil,vyslovit,pf
en:McEwan_Na-Chesilske:0:shuff:618,cs:McEwan_Na-Chesilske:0:shuff:624,began,begin,Začínal,začínat,impf
en:McEwan_Na-Chesilske:0:shuff:618,cs:McEwan_Na-Chesilske:0:shuff:624,open,open,otvírat,otvírat,impf
en:McEwan_Na-Chesilske:0:shuff:618,cs:McEwan_Na-Chesilske:0:shuff:624,felt,feel,cítil,cítit,impf
en:McEwan_Na-Chesilske:0:shuff:618,cs:McEwan_Na-Chesilske:0:shuff:624,come,come,přichází,přicházet,impf
en:McEwan_Na-Chesilske:0:shuff:618,cs:McEwan_Na-Chesilske:0:shuff:624,wanted,want,nechtěl,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:620,cs:McEwan_Na-Chesilske:0:shuff:626,leave,leave,odejde,odejít,pf
en:McEwan_Na-Chesilske:0:shuff:620,cs:McEwan_Na-Chesilske:0:shuff:626,return,return,vracet,vracet,impf
en:McEwan_Na-Chesilske:0:shuff:621,cs:McEwan_Na-Chesilske:0:shuff:627,received,receive,obdržela,obdržet,pf
en:McEwan_Na-Chesilske:0:shuff:621,cs:McEwan_Na-Chesilske:0:shuff:627,asked,ask,požádala,požádat,pf
en:McEwan_Na-Chesilske:0:shuff:625,cs:McEwan_Na-Chesilske:0:shuff:631,see,see,viděla,vidět,impf
en:McEwan_Na-Chesilske:0:shuff:625,cs:McEwan_Na-Chesilske:0:shuff:631,saw,see,viděla,vidět,impf
en:McEwan_Na-Chesilske:0:shuff:625,cs:McEwan_Na-Chesilske:0:shuff:631,moving,move,pohybovaly,pohybovat,impf
en:McEwan_Na-Chesilske:0:shuff:625,cs:McEwan_Na-Chesilske:0:shuff:631,see,see,spatřila,spatřit,pf
en:McEwan_Na-Chesilske:0:shuff:625,cs:McEwan_Na-Chesilske:0:shuff:631,saw,see,spatřila,spatřit,pf
en:McEwan_Na-Chesilske:0:shuff:626,cs:McEwan_Na-Chesilske:0:shuff:632,interred,inter,pohřbena,pohřbít,pf
en:McEwan_Na-Chesilske:0:shuff:627,cs:McEwan_Na-Chesilske:0:shuff:633,look,look,dívali,dívat,impf
