en:searle-mysl_mozek_veda:0:shuff:3,cs:searle-mysl_mozek_veda:0:shuff:3,remove,remove,odstranit,odstranit,pf
en:searle-mysl_mozek_veda:0:shuff:238,cs:searle-mysl_mozek_veda:0:shuff:255,behave,behave,choval,chovat,impf
en:searle-mysl_mozek_veda:0:shuff:238,cs:searle-mysl_mozek_veda:0:shuff:255,understood,understand,rozuměl,rozumět,impf
en:searle-mysl_mozek_veda:0:shuff:239,cs:searle-mysl_mozek_veda:0:shuff:256,tried,try,pokusil,pokusit,pf
en:searle-mysl_mozek_veda:0:shuff:239,cs:searle-mysl_mozek_veda:0:shuff:256,answer,answer,odpovědět,odpovědět,pf
en:searle-mysl_mozek_veda:0:shuff:243,cs:searle-mysl_mozek_veda:0:shuff:260,developed,develop,vyvinuli,vyvinout,pf
en:searle-mysl_mozek_veda:0:shuff:245,cs:searle-mysl_mozek_veda:0:shuff:262,getting,get,nedostali,dostat,pf
en:searle-mysl_mozek_veda:0:shuff:249,cs:searle-mysl_mozek_veda:0:shuff:266,try,try,pokouším,pokoušet,impf
en:searle-mysl_mozek_veda:0:shuff:250,cs:searle-mysl_mozek_veda:0:shuff:267,choose,choose,rozhodnout,rozhodnout,pf
en:searle-mysl_mozek_veda:0:shuff:254,cs:searle-mysl_mozek_veda:0:shuff:271,find,find,považuji,považovat,impf
en:searle-mysl_mozek_veda:0:shuff:256,cs:searle-mysl_mozek_veda:0:shuff:273,state,state,určili,určit,pf
en:searle-mysl_mozek_veda:0:shuff:257,cs:searle-mysl_mozek_veda:0:shuff:274,fill,fill,zaplňovat,zaplňovat,impf
en:searle-mysl_mozek_veda:0:shuff:259,cs:searle-mysl_mozek_veda:0:shuff:276,produced,produce,vyvolávaly,vyvolávat,impf
en:searle-mysl_mozek_veda:0:shuff:262,cs:searle-mysl_mozek_veda:0:shuff:279,reserve,reserve,ponechat,ponechat,pf
en:searle-mysl_mozek_veda:0:shuff:264,cs:searle-mysl_mozek_veda:0:shuff:281,want,want,chtěl,chtít,impf
en:searle-mysl_mozek_veda:0:shuff:264,cs:searle-mysl_mozek_veda:0:shuff:281,thank,thank,poděkovat,poděkovat,pf
en:searle-mysl_mozek_veda:0:shuff:266,cs:searle-mysl_mozek_veda:0:shuff:283,decided,decide,rozhodl,rozhodnout,pf
en:searle-mysl_mozek_veda:0:shuff:266,cs:searle-mysl_mozek_veda:0:shuff:283,try,try,pokusil,pokusit,pf
en:searle-mysl_mozek_veda:0:shuff:266,cs:searle-mysl_mozek_veda:0:shuff:283,follow,follow,sledovat,sledovat,impf
en:searle-mysl_mozek_veda:0:shuff:267,cs:searle-mysl_mozek_veda:0:shuff:284,lectures,lecture,přednášel,přednášet,impf
en:searle-mysl_mozek_veda:0:shuff:268,cs:searle-mysl_mozek_veda:0:shuff:285,represent,represent,reprezentují,reprezentovat,impf
en:searle-mysl_mozek_veda:0:shuff:270,cs:searle-mysl_mozek_veda:0:shuff:287,promised,promise,Přislíbil,přislíbit,pf
en:searle-mysl_mozek_veda:0:shuff:270,cs:searle-mysl_mozek_veda:0:shuff:287,called,call,nazvat,nazvat,pf
en:searle-mysl_mozek_veda:0:shuff:274,cs:searle-mysl_mozek_veda:0:shuff:292,think,think,myslet,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:279,cs:searle-mysl_mozek_veda:0:shuff:298,understand,understand,porozumíme,porozumět,pf
en:searle-mysl_mozek_veda:0:shuff:280,cs:searle-mysl_mozek_veda:0:shuff:299,thinking,think,Pomyslím,pomyslit,pf
en:searle-mysl_mozek_veda:0:shuff:280,cs:searle-mysl_mozek_veda:0:shuff:299,wishing,wish,přeji,přát,impf
en:searle-mysl_mozek_veda:0:shuff:280,cs:searle-mysl_mozek_veda:0:shuff:299,drink,drink,vypít,vypít,pf
en:searle-mysl_mozek_veda:0:shuff:280,cs:searle-mysl_mozek_veda:0:shuff:299,thinking,think,má,mít,impf
en:searle-mysl_mozek_veda:0:shuff:287,cs:searle-mysl_mozek_veda:0:shuff:306,see,see,uvidíme,uvidět,pf
en:searle-mysl_mozek_veda:0:shuff:288,cs:searle-mysl_mozek_veda:0:shuff:307,hits,hit,narazí,narazit,pf
en:searle-mysl_mozek_veda:0:shuff:289,cs:searle-mysl_mozek_veda:0:shuff:308,considering,consider,myslela,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:289,cs:searle-mysl_mozek_veda:0:shuff:308,thinking,think,myslela,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:292,cs:searle-mysl_mozek_veda:0:shuff:311,derive,derive,vyvodit,vyvodit,pf
en:searle-mysl_mozek_veda:0:shuff:293,cs:searle-mysl_mozek_veda:0:shuff:312,say,say,říci,říci,pf
en:searle-mysl_mozek_veda:0:shuff:294,cs:searle-mysl_mozek_veda:0:shuff:313,say,say,říci,říci,pf
en:searle-mysl_mozek_veda:0:shuff:294,cs:searle-mysl_mozek_veda:0:shuff:313,say,say,říci,říci,pf
en:searle-mysl_mozek_veda:0:shuff:294,cs:searle-mysl_mozek_veda:0:shuff:313,experiencing,experience,má,mít,impf
en:searle-mysl_mozek_veda:0:shuff:294,cs:searle-mysl_mozek_veda:0:shuff:313,experiencing,experience,má,mít,impf
en:searle-mysl_mozek_veda:0:shuff:294,cs:searle-mysl_mozek_veda:0:shuff:313,say,say,řekneme,říci,pf
en:searle-mysl_mozek_veda:0:shuff:294,cs:searle-mysl_mozek_veda:0:shuff:313,say,say,řekneme,říci,pf
en:searle-mysl_mozek_veda:0:shuff:297,cs:searle-mysl_mozek_veda:0:shuff:317,accept,accept,nepřijmete,přijmout,pf
en:searle-mysl_mozek_veda:0:shuff:299,cs:searle-mysl_mozek_veda:0:shuff:319,explain,explain,nevysvětluje,vysvětlovat,impf
en:searle-mysl_mozek_veda:0:shuff:300,cs:searle-mysl_mozek_veda:0:shuff:320,invites,invite,žádá,žádat,impf
en:searle-mysl_mozek_veda:0:shuff:302,cs:searle-mysl_mozek_veda:0:shuff:322,exists,exist,existuje,existovat,impf
en:searle-mysl_mozek_veda:0:shuff:303,cs:searle-mysl_mozek_veda:0:shuff:323,called,call,nazýváme,nazývat,impf
en:searle-mysl_mozek_veda:0:shuff:304,cs:searle-mysl_mozek_veda:0:shuff:324,think,think,považuji,považovat,impf
en:searle-mysl_mozek_veda:0:shuff:306,cs:searle-mysl_mozek_veda:0:shuff:326,put,put,řečeno,říci,pf
en:searle-mysl_mozek_veda:0:shuff:307,cs:searle-mysl_mozek_veda:0:shuff:327,goes,go,jde,jít,impf
en:searle-mysl_mozek_veda:0:shuff:311,cs:searle-mysl_mozek_veda:0:shuff:331,emphasise,emphasise,zdůraznit,zdůraznit,pf
en:searle-mysl_mozek_veda:0:shuff:311,cs:searle-mysl_mozek_veda:0:shuff:331,think,think,myslet,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:311,cs:searle-mysl_mozek_veda:0:shuff:331,wait,wait,počkat,počkat,pf
en:searle-mysl_mozek_veda:0:shuff:315,cs:searle-mysl_mozek_veda:0:shuff:335,want,want,chtěl,chtít,impf
en:searle-mysl_mozek_veda:0:shuff:316,cs:searle-mysl_mozek_veda:0:shuff:336,coincided,coincide,shoduje,shodovat,impf
en:searle-mysl_mozek_veda:0:shuff:318,cs:searle-mysl_mozek_veda:0:shuff:338,take,take,Vezměme,vzít,pf
en:searle-mysl_mozek_veda:0:shuff:319,cs:searle-mysl_mozek_veda:0:shuff:339,produce,produce,vyvolat,vyvolat,pf
en:searle-mysl_mozek_veda:0:shuff:321,cs:searle-mysl_mozek_veda:0:shuff:341,Notice,notice,povšimnout,povšimnout,pf
en:searle-mysl_mozek_veda:0:shuff:322,cs:searle-mysl_mozek_veda:0:shuff:342,mentioned,mention,Připomeňme,připomenout,pf
en:searle-mysl_mozek_veda:0:shuff:324,cs:searle-mysl_mozek_veda:0:shuff:344,prevents,prevent,brání,bránit,impf
en:searle-mysl_mozek_veda:0:shuff:328,cs:searle-mysl_mozek_veda:0:shuff:348,turn,turn,obrátil,obrátit,pf
en:searle-mysl_mozek_veda:0:shuff:331,cs:searle-mysl_mozek_veda:0:shuff:351,explain,explain,objasnit,objasnit,pf
en:searle-mysl_mozek_veda:0:shuff:333,cs:searle-mysl_mozek_veda:0:shuff:353,show,show,ukázat,ukázat,pf
en:searle-mysl_mozek_veda:0:shuff:333,cs:searle-mysl_mozek_veda:0:shuff:353,show,show,předložil,předložit,pf
en:searle-mysl_mozek_veda:0:shuff:334,cs:searle-mysl_mozek_veda:0:shuff:354,interfering,interfere,zasáhnout,zasáhnout,pf
en:searle-mysl_mozek_veda:0:shuff:338,cs:searle-mysl_mozek_veda:0:shuff:358,lack,lack,postrádáme,postrádat,impf
en:searle-mysl_mozek_veda:0:shuff:338,cs:searle-mysl_mozek_veda:0:shuff:358,explaining,explain,vysvětlit,vysvětlit,pf
en:searle-mysl_mozek_veda:0:shuff:341,cs:searle-mysl_mozek_veda:0:shuff:362,mean,mean,myslím,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:342,cs:searle-mysl_mozek_veda:0:shuff:363,begin,begin,Začneme,začít,pf
en:searle-mysl_mozek_veda:0:shuff:343,cs:searle-mysl_mozek_veda:0:shuff:364,denying,deny,popírá,popírat,impf
en:searle-mysl_mozek_veda:0:shuff:344,cs:searle-mysl_mozek_veda:0:shuff:365,deny,deny,popírají,popírat,impf
en:searle-mysl_mozek_veda:0:shuff:347,cs:searle-mysl_mozek_veda:0:shuff:368,resists,resist,odolává,odolávat,impf
en:searle-mysl_mozek_veda:0:shuff:350,cs:searle-mysl_mozek_veda:0:shuff:371,built,build,postavil,postavit,pf
en:searle-mysl_mozek_veda:0:shuff:350,cs:searle-mysl_mozek_veda:0:shuff:371,convinced,convince,přesvědčeni,přesvědčit,pf
en:searle-mysl_mozek_veda:0:shuff:352,cs:searle-mysl_mozek_veda:0:shuff:373,consisted,consist,sestával,sestávat,impf
en:searle-mysl_mozek_veda:0:shuff:355,cs:searle-mysl_mozek_veda:0:shuff:377,see,see,vidí,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:357,cs:searle-mysl_mozek_veda:0:shuff:379,anticipate,anticipate,předbíhám,předbíhat,impf
en:searle-mysl_mozek_veda:0:shuff:357,cs:searle-mysl_mozek_veda:0:shuff:379,fail,fail,selhávalo,selhávat,impf
en:searle-mysl_mozek_veda:0:shuff:357,cs:searle-mysl_mozek_veda:0:shuff:379,fill,fill,zaplňovat,zaplňovat,impf
en:searle-mysl_mozek_veda:0:shuff:359,cs:searle-mysl_mozek_veda:0:shuff:381,call,call,nazývám,nazývat,impf
en:searle-mysl_mozek_veda:0:shuff:360,cs:searle-mysl_mozek_veda:0:shuff:382,refuted,refute,vyvrátil,vyvrátit,pf
en:searle-mysl_mozek_veda:0:shuff:362,cs:searle-mysl_mozek_veda:0:shuff:384,cause,cause,způsobit,způsobit,pf
en:searle-mysl_mozek_veda:0:shuff:363,cs:searle-mysl_mozek_veda:0:shuff:385,raising,raise,zvednout,zvednout,pf
en:searle-mysl_mozek_veda:0:shuff:363,cs:searle-mysl_mozek_veda:0:shuff:385,raising,raise,vyvolá,vyvolat,pf
en:searle-mysl_mozek_veda:0:shuff:363,cs:searle-mysl_mozek_veda:0:shuff:385,causes,cause,vyvolá,vyvolat,pf
en:searle-mysl_mozek_veda:0:shuff:365,cs:searle-mysl_mozek_veda:0:shuff:388,resist,resist,odolat,odolat,pf
en:searle-mysl_mozek_veda:0:shuff:365,cs:searle-mysl_mozek_veda:0:shuff:388,occur,occur,vyskytují,vyskytovat,impf
en:searle-mysl_mozek_veda:0:shuff:370,cs:searle-mysl_mozek_veda:0:shuff:395,observe,observe,pozorovat,pozorovat,impf
en:searle-mysl_mozek_veda:0:shuff:370,cs:searle-mysl_mozek_veda:0:shuff:395,see,see,pozorovat,pozorovat,impf
en:searle-mysl_mozek_veda:0:shuff:370,cs:searle-mysl_mozek_veda:0:shuff:395,performing,perform,dělá,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:370,cs:searle-mysl_mozek_veda:0:shuff:395,perform,perform,dělá,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:370,cs:searle-mysl_mozek_veda:0:shuff:395,trying,try,pokouší,pokoušet,impf
en:searle-mysl_mozek_veda:0:shuff:370,cs:searle-mysl_mozek_veda:0:shuff:395,performing,perform,dělat,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:370,cs:searle-mysl_mozek_veda:0:shuff:395,perform,perform,dělat,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:377,cs:searle-mysl_mozek_veda:0:shuff:404,doing,do,dělá,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:377,cs:searle-mysl_mozek_veda:0:shuff:404,does,do,dělá,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:378,cs:searle-mysl_mozek_veda:0:shuff:405,seems,seem,zdá,zdát,impf
en:searle-mysl_mozek_veda:0:shuff:378,cs:searle-mysl_mozek_veda:0:shuff:405,behaving,behave,jedná,jednat,impf
en:searle-mysl_mozek_veda:0:shuff:379,cs:searle-mysl_mozek_veda:0:shuff:406,believe,believe,Myslím,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:380,cs:searle-mysl_mozek_veda:0:shuff:407,want,want,chtěl,chtít,impf
en:searle-mysl_mozek_veda:0:shuff:380,cs:searle-mysl_mozek_veda:0:shuff:407,want,want,nechtěl,chtít,impf
en:searle-mysl_mozek_veda:0:shuff:385,cs:searle-mysl_mozek_veda:0:shuff:413,explained,explain,vysvětlit,vysvětlit,pf
en:searle-mysl_mozek_veda:0:shuff:387,cs:searle-mysl_mozek_veda:0:shuff:415,think,think,myslím,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:387,cs:searle-mysl_mozek_veda:0:shuff:415,mean,mean,myslím,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:387,cs:searle-mysl_mozek_veda:0:shuff:415,think,think,míníme,mínit,impf
en:searle-mysl_mozek_veda:0:shuff:387,cs:searle-mysl_mozek_veda:0:shuff:415,mean,mean,míníme,mínit,impf
en:searle-mysl_mozek_veda:0:shuff:387,cs:searle-mysl_mozek_veda:0:shuff:415,makes,make,způsobila,způsobit,pf
en:searle-mysl_mozek_veda:0:shuff:388,cs:searle-mysl_mozek_veda:0:shuff:416,making,make,vyvolal,vyvolat,pf
en:searle-mysl_mozek_veda:0:shuff:388,cs:searle-mysl_mozek_veda:0:shuff:416,causes,cause,vyvolal,vyvolat,pf
en:searle-mysl_mozek_veda:0:shuff:391,cs:searle-mysl_mozek_veda:0:shuff:419,explain,explain,objasnit,objasnit,pf
en:searle-mysl_mozek_veda:0:shuff:391,cs:searle-mysl_mozek_veda:0:shuff:419,show,show,ukázat,ukázat,pf
en:searle-mysl_mozek_veda:0:shuff:392,cs:searle-mysl_mozek_veda:0:shuff:420,show,show,ukázat,ukázat,pf
en:searle-mysl_mozek_veda:0:shuff:393,cs:searle-mysl_mozek_veda:0:shuff:421,lay,lay,položit,položit,pf
en:searle-mysl_mozek_veda:0:shuff:394,cs:searle-mysl_mozek_veda:0:shuff:422,think,think,Přemýšlíme,přemýšlet,impf
en:searle-mysl_mozek_veda:0:shuff:395,cs:searle-mysl_mozek_veda:0:shuff:423,seems,seem,Zdá,zdát,impf
en:searle-mysl_mozek_veda:0:shuff:395,cs:searle-mysl_mozek_veda:0:shuff:423,suppose,suppose,předpokládat,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:399,cs:searle-mysl_mozek_veda:0:shuff:427,see,see,vidět,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:400,cs:searle-mysl_mozek_veda:0:shuff:428,describe,describe,popsat,popsat,pf
en:searle-mysl_mozek_veda:0:shuff:405,cs:searle-mysl_mozek_veda:0:shuff:435,suppose,suppose,věříme,věřit,impf
en:searle-mysl_mozek_veda:0:shuff:409,cs:searle-mysl_mozek_veda:0:shuff:439,think,think,myslet,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:409,cs:searle-mysl_mozek_veda:0:shuff:439,think,think,mají,mít,impf
en:searle-mysl_mozek_veda:0:shuff:410,cs:searle-mysl_mozek_veda:0:shuff:440,doing,do,děláme,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:410,cs:searle-mysl_mozek_veda:0:shuff:440,doing,do,děláme,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:410,cs:searle-mysl_mozek_veda:0:shuff:440,doing,do,děláme,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:410,cs:searle-mysl_mozek_veda:0:shuff:440,doing,do,děláme,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:413,cs:searle-mysl_mozek_veda:0:shuff:443,say,say,říkám,říkat,impf
en:searle-mysl_mozek_veda:0:shuff:414,cs:searle-mysl_mozek_veda:0:shuff:444,think,think,Myslím,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:414,cs:searle-mysl_mozek_veda:0:shuff:444,dispel,dispel,rozptýlit,rozptýlit,pf
en:searle-mysl_mozek_veda:0:shuff:414,cs:searle-mysl_mozek_veda:0:shuff:444,pursuing,pursue,sledovat,sledovat,impf
en:searle-mysl_mozek_veda:0:shuff:415,cs:searle-mysl_mozek_veda:0:shuff:445,thought,think,považovala,považovat,impf
en:searle-mysl_mozek_veda:0:shuff:416,cs:searle-mysl_mozek_veda:0:shuff:446,Suppose,suppose,Předpokládejme,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:417,cs:searle-mysl_mozek_veda:0:shuff:447,Suppose,suppose,Předpokládejme,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:418,cs:searle-mysl_mozek_veda:0:shuff:448,create,create,stvořit,stvořit,pf
en:searle-mysl_mozek_veda:0:shuff:418,cs:searle-mysl_mozek_veda:0:shuff:448,doomed,doom,odsouzen,odsoudit,pf
en:searle-mysl_mozek_veda:0:shuff:419,cs:searle-mysl_mozek_veda:0:shuff:449,do,do,dělat,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:420,cs:searle-mysl_mozek_veda:0:shuff:450,agreed,agree,souhlasí,souhlasit,impf
en:searle-mysl_mozek_veda:0:shuff:422,cs:searle-mysl_mozek_veda:0:shuff:453,done,do,udělat,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:422,cs:searle-mysl_mozek_veda:0:shuff:453,did,do,udělat,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:422,cs:searle-mysl_mozek_veda:0:shuff:453,done,do,udělali,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:422,cs:searle-mysl_mozek_veda:0:shuff:453,did,do,udělali,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:424,cs:searle-mysl_mozek_veda:0:shuff:455,think,think,myslet,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:424,cs:searle-mysl_mozek_veda:0:shuff:455,think,think,máme,mít,impf
en:searle-mysl_mozek_veda:0:shuff:429,cs:searle-mysl_mozek_veda:0:shuff:460,believe,believe,věří,věřit,impf
en:searle-mysl_mozek_veda:0:shuff:433,cs:searle-mysl_mozek_veda:0:shuff:464,do,do,udělal,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:433,cs:searle-mysl_mozek_veda:0:shuff:464,tell,tell,řekněme,říci,pf
en:searle-mysl_mozek_veda:0:shuff:433,cs:searle-mysl_mozek_veda:0:shuff:464,say,say,řekněme,říci,pf
en:searle-mysl_mozek_veda:0:shuff:433,cs:searle-mysl_mozek_veda:0:shuff:464,crawl,crawl,lezl,lézt,impf
en:searle-mysl_mozek_veda:0:shuff:435,cs:searle-mysl_mozek_veda:0:shuff:469,called,call,nazývá,nazývat,impf
en:searle-mysl_mozek_veda:0:shuff:435,cs:searle-mysl_mozek_veda:0:shuff:469,derives,derive,odvozuje,odvozovat,impf
en:searle-mysl_mozek_veda:0:shuff:438,cs:searle-mysl_mozek_veda:0:shuff:472,saying,say,Neříkám,říkat,impf
en:searle-mysl_mozek_veda:0:shuff:438,cs:searle-mysl_mozek_veda:0:shuff:472,lose,lose,ztratit,ztratit,pf
en:searle-mysl_mozek_veda:0:shuff:440,cs:searle-mysl_mozek_veda:0:shuff:474,saying,say,říci,říci,pf
en:searle-mysl_mozek_veda:0:shuff:445,cs:searle-mysl_mozek_veda:0:shuff:480,interacted,interact,působil,působit,impf
en:searle-mysl_mozek_veda:0:shuff:445,cs:searle-mysl_mozek_veda:0:shuff:480,interacted,interact,působil,působit,impf
en:searle-mysl_mozek_veda:0:shuff:445,cs:searle-mysl_mozek_veda:0:shuff:480,understood,understand,rozumí,rozumět,impf
en:searle-mysl_mozek_veda:0:shuff:448,cs:searle-mysl_mozek_veda:0:shuff:483,plays,play,hraje,hrát,impf
en:searle-mysl_mozek_veda:0:shuff:451,cs:searle-mysl_mozek_veda:0:shuff:486,turn,turn,odvrátíme,odvrátit,pf
en:searle-mysl_mozek_veda:0:shuff:453,cs:searle-mysl_mozek_veda:0:shuff:488,sitting,sit,sedím,sedět,impf
en:searle-mysl_mozek_veda:0:shuff:454,cs:searle-mysl_mozek_veda:0:shuff:489,composed,compose,složen,složit,pf
en:searle-mysl_mozek_veda:0:shuff:455,cs:searle-mysl_mozek_veda:0:shuff:490,say,say,říci,říci,pf
en:searle-mysl_mozek_veda:0:shuff:455,cs:searle-mysl_mozek_veda:0:shuff:490,agrees,agree,souhlasit,souhlasit,impf
en:searle-mysl_mozek_veda:0:shuff:456,cs:searle-mysl_mozek_veda:0:shuff:491,say,say,Řeknu,říci,pf
en:searle-mysl_mozek_veda:0:shuff:458,cs:searle-mysl_mozek_veda:0:shuff:494,show,show,ukázat,ukázat,pf
en:searle-mysl_mozek_veda:0:shuff:458,cs:searle-mysl_mozek_veda:0:shuff:494,show,show,ukázat,ukázat,pf
en:searle-mysl_mozek_veda:0:shuff:458,cs:searle-mysl_mozek_veda:0:shuff:494,shown,show,ukázat,ukázat,pf
en:searle-mysl_mozek_veda:0:shuff:458,cs:searle-mysl_mozek_veda:0:shuff:494,show,show,ukázat,ukázat,pf
en:searle-mysl_mozek_veda:0:shuff:458,cs:searle-mysl_mozek_veda:0:shuff:494,show,show,ukázat,ukázat,pf
en:searle-mysl_mozek_veda:0:shuff:458,cs:searle-mysl_mozek_veda:0:shuff:494,shown,show,ukázat,ukázat,pf
en:searle-mysl_mozek_veda:0:shuff:459,cs:searle-mysl_mozek_veda:0:shuff:495,see,see,viděli,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:461,cs:searle-mysl_mozek_veda:0:shuff:497,take,take,potřebuje,potřebovat,impf
en:searle-mysl_mozek_veda:0:shuff:461,cs:searle-mysl_mozek_veda:0:shuff:497,take,take,potřebuje,potřebovat,impf
en:searle-mysl_mozek_veda:0:shuff:461,cs:searle-mysl_mozek_veda:0:shuff:497,working,work,funguje,fungovat,impf
en:searle-mysl_mozek_veda:0:shuff:463,cs:searle-mysl_mozek_veda:0:shuff:499,follow,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:463,cs:searle-mysl_mozek_veda:0:shuff:499,follows,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:463,cs:searle-mysl_mozek_veda:0:shuff:499,follow,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:463,cs:searle-mysl_mozek_veda:0:shuff:499,follows,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:465,cs:searle-mysl_mozek_veda:0:shuff:502,depend,depend,závisí,záviset,impf
en:searle-mysl_mozek_veda:0:shuff:467,cs:searle-mysl_mozek_veda:0:shuff:504,operating,operate,působí,působit,impf
en:searle-mysl_mozek_veda:0:shuff:467,cs:searle-mysl_mozek_veda:0:shuff:504,compel,compel,nutí,nutit,impf
en:searle-mysl_mozek_veda:0:shuff:467,cs:searle-mysl_mozek_veda:0:shuff:504,do,do,udělat,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:467,cs:searle-mysl_mozek_veda:0:shuff:504,done,do,udělat,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:467,cs:searle-mysl_mozek_veda:0:shuff:504,did,do,udělat,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:467,cs:searle-mysl_mozek_veda:0:shuff:504,do,do,udělat,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:467,cs:searle-mysl_mozek_veda:0:shuff:504,do,do,udělal,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:467,cs:searle-mysl_mozek_veda:0:shuff:504,done,do,udělal,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:467,cs:searle-mysl_mozek_veda:0:shuff:504,did,do,udělal,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:467,cs:searle-mysl_mozek_veda:0:shuff:504,do,do,udělal,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:469,cs:searle-mysl_mozek_veda:0:shuff:506,follows,follow,plyne,plynout,impf
en:searle-mysl_mozek_veda:0:shuff:472,cs:searle-mysl_mozek_veda:0:shuff:509,called,call,říkal,říkat,impf
en:searle-mysl_mozek_veda:0:shuff:475,cs:searle-mysl_mozek_veda:0:shuff:514,survive,survive,přežít,přežít,pf
en:searle-mysl_mozek_veda:0:shuff:476,cs:searle-mysl_mozek_veda:0:shuff:515,think,think,myšleni,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:476,cs:searle-mysl_mozek_veda:0:shuff:515,follow,follow,neplyne,plynout,impf
en:searle-mysl_mozek_veda:0:shuff:479,cs:searle-mysl_mozek_veda:0:shuff:518,asked,ask,požádán,požádat,pf
en:searle-mysl_mozek_veda:0:shuff:480,cs:searle-mysl_mozek_veda:0:shuff:519,enable,enable,umožňuje,umožňovat,impf
en:searle-mysl_mozek_veda:0:shuff:480,cs:searle-mysl_mozek_veda:0:shuff:519,understand,understand,pochopit,pochopit,pf
en:searle-mysl_mozek_veda:0:shuff:481,cs:searle-mysl_mozek_veda:0:shuff:520,start,start,Začněme,začít,pf
en:searle-mysl_mozek_veda:0:shuff:482,cs:searle-mysl_mozek_veda:0:shuff:521,told,tell,Říkáme,říkat,impf
en:searle-mysl_mozek_veda:0:shuff:482,cs:searle-mysl_mozek_veda:0:shuff:521,follow,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:482,cs:searle-mysl_mozek_veda:0:shuff:521,follow,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:482,cs:searle-mysl_mozek_veda:0:shuff:521,follow,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:482,cs:searle-mysl_mozek_veda:0:shuff:521,follow,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:483,cs:searle-mysl_mozek_veda:0:shuff:522,want,want,Chtěl,chtít,impf
en:searle-mysl_mozek_veda:0:shuff:484,cs:searle-mysl_mozek_veda:0:shuff:523,follow,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:484,cs:searle-mysl_mozek_veda:0:shuff:523,guided,guide,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:485,cs:searle-mysl_mozek_veda:0:shuff:524,explain,explain,objasnilo,objasnit,pf
en:searle-mysl_mozek_veda:0:shuff:491,cs:searle-mysl_mozek_veda:0:shuff:530,come,come,nepochází,pocházet,impf
en:searle-mysl_mozek_veda:0:shuff:494,cs:searle-mysl_mozek_veda:0:shuff:534,understand,understand,nerozumíte,rozumět,impf
en:searle-mysl_mozek_veda:0:shuff:494,cs:searle-mysl_mozek_veda:0:shuff:534,understand,understand,nerozumíte,rozumět,impf
en:searle-mysl_mozek_veda:0:shuff:494,cs:searle-mysl_mozek_veda:0:shuff:534,understand,understand,rozumíte,rozumět,impf
en:searle-mysl_mozek_veda:0:shuff:494,cs:searle-mysl_mozek_veda:0:shuff:534,understand,understand,rozumíte,rozumět,impf
